"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1567","should clear all completed todos","Desktop Safari","2026-04-17","passed","2026-04-17","@management Todo Management > @regression","todo-management.spec.ts","",""
"Filter selection should survive a full page reload via URL hash.","1961","should persist filter state on page reload","iPhone 15 Pro Max","2026-04-17","passed","2026-04-17","@filter Todo Filtering > @regression","todo-filtering.spec.ts","",""
"","1475","should show only completed todos on the Completed filter","iPad Mini","2026-04-17","passed","2026-04-17","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"","506","should edit an existing todo item","Galaxy S9+","2026-04-17","passed","2026-04-17","@management Todo Management > @regression","todo-management.spec.ts","",""
"","504","should edit an existing todo item","Desktop Chrome HiDPI","2026-04-17","passed","2026-04-17","@management Todo Management > @regression","todo-management.spec.ts","",""
"","582","should delete a todo item","Galaxy S9+","2026-04-17","passed","2026-04-17","@management Todo Management > @smoke","todo-management.spec.ts","",""
"Verifies that the ""All"" filter displays both active and completed todos.","1680","should show all todos on the All filter","iPad Mini","2026-04-17","passed","2026-04-17","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"","687","should not add an empty todo item","Desktop Firefox HiDPI","2026-04-17","passed","2026-04-17","@creation Todo Creation > @edge-case","todo-creation.spec.ts","",""
"","679","should show only completed todos on the Completed filter","Desktop Edge","2026-04-17","passed","2026-04-17","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"Verifies that a todo can be marked as completed, updating its visual state.","1360","should mark a todo as completed","iPad Pro 11","2026-04-17","passed","2026-04-17","@management Todo Management > @smoke","todo-management.spec.ts","",""
"Verifies that a user can create a new todo item successfully.","406","should add a single todo item","Desktop Chrome","2026-04-17","passed","2026-04-17","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
"","404","should not add an empty todo item","Galaxy S9+","2026-04-17","passed","2026-04-17","@creation Todo Creation > @edge-case","todo-creation.spec.ts","",""
"Verifies that multiple todo items can be added sequentially.","4800","should add multiple todo items","iPhone 15 Pro Max","2026-04-17","passed","2026-04-17","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
"","515","should toggle all todos at once","Galaxy S9+","2026-04-17","passed","2026-04-17","@management Todo Management > @regression","todo-management.spec.ts","",""
"","1470","should delete a todo item","iPhone 15","2026-04-17","passed","2026-04-17","@management Todo Management > @smoke","todo-management.spec.ts","",""
